waterbodyID,stationID,sampleID,sampleDate,analysisID,analysisDate,analystName,frozen,filtered,dilution,sampleTemperatureC,ChlaUGL,PhycoUGL,analysisRep,fluorometerType,photosAnalysis,commentAnalysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_N,1,08/01/2015,370,09/18/2015,Vuarnelle Urena,Yes,No,1:1,23,1.64,12.68,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_O,1,08/01/2015,371,09/18/2015,Vuarnelle Urena,Yes,No,1:1,23,1.52,16.71,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_O,2,08/01/2015,372,09/18/2015,Vuarnelle Urena,Yes,No,1:1,23.1,1.59,22.08,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_O,3,08/01/2015,373,09/18/2015,Vuarnelle Urena,Yes,No,1:1,23.2,1.44,0.1,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_N,1,08/01/2015,374,09/18/2015,Vuarnelle Urena,Yes,No,1:2,23,0.85,12.68,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_O,1,08/01/2015,375,09/18/2015,Vuarnelle Urena,Yes,No,1:2,23,0.82,7,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_O,2,08/01/2015,376,09/18/2015,Vuarnelle Urena,Yes,No,1:2,23.1,1.14,16.71,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_O,3,08/01/2015,377,09/18/2015,Vuarnelle Urena,Yes,No,1:2,23.2,0.85,2.5,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_O,2,08/01/2015,378,09/18/2015,Vuarnelle Urena,Yes,No,1:4,23.1,0.57,12.68,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI0004009L-01A,WW454_O,2,08/01/2015,379,09/18/2015,Vuarnelle Urena,Yes,No,1:4,23.1,0.57,12.68,Primary,Beagle,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
